Authors,Title,Year,Abstract,Cited by
Paydaş Hataysal E.; Körez M.K.,Machine Learning-Based Prediction of β-Thalassemia Trait Using Red Blood Cell Indices,2026,"Objectives: Anemia is a significant global health concern, with hypochromic microcytic anemia being the most common type. Among its causes, β-thalassemia trait (β-TT) and iron deficiency anemia (IDA) share similar hematological features, making differentiation challenging. We aimed to develop machine learning (ML) models using routine red blood cell (RBC) indices to distinguish β-TT, IDA, and healthy cases. Methods: A total of 8106 individuals (3378 healthy, 2696 IDA, 2032 β-TT) were included in this study. Six RBC parameters—RBC count, hemoglobin (HGB), mean corpuscular volume (MCV), mean corpuscular hemoglobin (MCH), MCH concentration (MCHC), and RBC distribution width (RDW-CV)—were used to train eXtreme gradient boosting (XGB), random forest (RF), and neural network (NN) models. The dataset was split into training (70%) and testing (30%) sets, with feature importance assessed via the Boruta algorithm. All statistical analyses were performed using R version 4.3.1 Statistical Language. Results: All models achieved high accuracy (> 97%), with RF demonstrating superior performance (97.86% accuracy, 99.71% AUC). The most significant features contributing to the models are MCH for the XGB algorithm, MCV for the RF algorithm, and HGB for the NN algorithm. Conclusions: Our findings demonstrate that ML-based models could offer a promising tool for improving β-TT detection, optimizing clinical workflows, and enhancing resource utilization in hematology. © 2025 John Wiley & Sons Ltd.",
Choudhury D.; Dolezal J.M.; Dyer E.; Kochanny S.; Ramesh S.; Howard F.M.; Margalus J.R.; Schroeder A.; Schulte J.; Garassino M.C.; Kather J.N.; Pearson A.T.,"Developing a low-cost, open-source, locally manufactured workstation and computational pipeline for automated histopathology evaluation using deep learning",2024,"Background: Deployment and access to state-of-the-art precision medicine technologies remains a fundamental challenge in providing equitable global cancer care in low-resource settings. The expansion of digital pathology in recent years and its potential interface with diagnostic artificial intelligence algorithms provides an opportunity to democratize access to personalized medicine. Current digital pathology workstations, however, cost thousands to hundreds of thousands of dollars. As cancer incidence rises in many low- and middle-income countries, the validation and implementation of low-cost automated diagnostic tools will be crucial to helping healthcare providers manage the growing burden of cancer. Methods: Here we describe a low-cost ($230) workstation for digital slide capture and computational analysis composed of open-source components. We analyze the predictive performance of deep learning models when they are used to evaluate pathology images captured using this open-source workstation versus images captured using common, significantly more expensive hardware. Validation studies assessed model performance on three distinct datasets and predictive models: head and neck squamous cell carcinoma (HPV positive versus HPV negative), lung cancer (adenocarcinoma versus squamous cell carcinoma), and breast cancer (invasive ductal carcinoma versus invasive lobular carcinoma). Findings: When compared to traditional pathology image capture methods, low-cost digital slide capture and analysis with the open-source workstation, including the low-cost microscope device, was associated with model performance of comparable accuracy for breast, lung, and HNSCC classification. At the patient level of analysis, AUROC was 0.84 for HNSCC HPV status prediction, 1.0 for lung cancer subtype prediction, and 0.80 for breast cancer classification. Interpretation: Our ability to maintain model performance despite decreased image quality and low-power computational hardware demonstrates that it is feasible to massively reduce costs associated with deploying deep learning models for digital pathology applications. Improving access to cutting-edge diagnostic tools may provide an avenue for reducing disparities in cancer care between high- and low-income regions. Funding: Funding for this project including personnel support was provided via grants from NIH/ NCI R25-CA240134, NIH/ NCI U01-CA243075, NIH/ NIDCR R56-DE030958, NIH/ NCI R01-CA276652, NIH/ NCI K08-CA283261, NIH/ NCI-SOAR 25CA240134, SU2C (Stand Up to Cancer) Fanconi Anemia Research Fund – Farrah Fawcett Foundation Head and Neck Cancer Research Team Grant, and the European Union Horizon Program ( I3LUNG). © 2024",
Zhang X.-R.; Li Z.-Q.; Sun L.-X.; Liu P.; Li Z.-H.; Li P.-F.; Zhao H.-W.; Chen B.-L.; Ji M.; Wang L.; Kang S.; Lang J.-H.; Mao C.; Chen C.-L.,Cohort Profile: Chinese Cervical Cancer Clinical Study,2021,"Cervical cancer is the fourth most common cancer worldwide, but its incidence varies greatly in different countries. Regardless of incidence or mortality, the burden of cervical cancer in China accounts for approximately 18% of the global burden. The Chinese Cervical Cancer Clinical Study is a hospital-based multicenter open cohort. The major aims of this study include (i) to explore the associations of therapeutic strategies with complications as well as mid- and long-term clinical outcomes; (ii) to widely assess the factors which may have an influence on the prognosis of cervical cancer and then guide the treatment options, and to estimate prognosis using a prediction model for precise post-treatment care and follow-up; (iii) to develop a knowledge base of cervical clinical auxiliary diagnosis and prognosis prediction using artificial intelligence and machine learning approaches; and (iv) to roughly map the burden of cervical cancer in different districts and monitoring the trend in incidence of cervical cancer to potentially inform prevention and control strategies. Patients eligible for inclusion were those diagnosed with cervical cancer, whether during an outpatient visit or hospital admission, at 47 different types of medical institutions in 19 cities of 11 provinces across mainland China between 2004 and 2018. In a total, 63 926 patients with cervical cancer were enrolled in the cohort. Since the project inception, a large number of standardized variables have been collected, including epidemiological characteristics, cervical cancer-related symptoms, physical examination results, laboratory testing results, imaging reports, tumor biomarkers, tumor staging, tumor characteristics, comorbidities, co-infections, treatment and short-term complications. Follow-up was performed at least once every 6 months within the first 5 years after receiving treatment and then annually thereafter. At present, we are developing a cervical cancer imaging database containing Dicom files with data of computed tomography/magnetic resonance imaging examination. Additionally, we are also collecting original pathological specimens of patients with cervical cancer. Potential collaborators are welcomed to contact the corresponding authors, and anyone can submit at least one specific study proposal describing the background, objectives and methods of the study. © Copyright © 2021 Zhang, Li, Sun, Liu, Li, Li, Zhao, Chen, Ji, Wang, Kang, Lang, Mao and Chen.",8.0
Monaghan C.K.; Willetts J.; Han H.; Chaudhuri S.; Ficociello L.H.; Kraus M.A.; Giles H.E.; Usvyat L.; Turk J.,Home Dialysis Prediction Using Artificial Intelligence,2025,[No abstract available],
Vives Corrons J.-L.,Understanding Rare Anemias: Emerging Frontiers for Diagnosis and Treatment,2024,"Background—This review provides a comprehensive overview of rare anemias, emphasizing their hereditary and acquired causes, diagnostic advancements, and evolving treatment strategies. It outlines the significance of rare anemias within public health, historical challenges in recognition and treatment, and the role of European initiatives like ENERCA and EuroBloodNet in advancing care. Content—This document discusses diagnostic technologies like next-generation sequencing and the impact of artificial intelligence, alongside the promising avenues of gene therapy, targeted drug treatments, and stem cell transplantation. It underscores the importance of a patient-tailored approach, advances in diagnostic tools, and the necessity for continued research, patient advocacy, and international collaboration to improve outcomes for individuals with rare anemias. © 2024 by the author.",
Yumrukuz Şenel M.; Karadoğan D.; Vardaloğlu I.; Develi E.; Çelik S.; Hızal M.; Özseren B.; Öncel A.; Can İ.; Hürsoy N.; Uyar K.; Karakaş F.G.; Er B.; Asfuroğlu P.; Gürsoy T.R.; Eyüboğlu T.Ş.; Çakır E.P.; Ademhan D.; Karaoğlanoğlu S.; Emiralioğlu N.; Öztürk N.A.A.; Marim F.; Güçlü Ö.A.; Çetin N.; Topçu D.Ö.; Çelik P.; Akgün M.,ERS International Virtual Congress 2021: Highlights from the Turkish Thoracic Society Early Career Members,2022,"This review aimed to highlight some important points derived from the presentations of the European Respiratory Society 2021 Virtual International Congress by a committee formed by the Early Career Task Group of the Turkish Thoracic Society. We summarized a wide range of topics including current developments of respiratory diseases and provided an overview of important and striking topics of the congress. Our primary motivation was to give some up-to-date information and new developments discussed during congress especially for the pulmonologists who did not have a chance to follow the congress. This review also committed an opportunity to get an overview of the newest data in the diverse fields of respiratory medicine such as post-coronavirus disease 2019, some new interventional and technologic developments related to respiratory health, and new treatment strategies. © Author(s).",0.0
Brydges G.; Chang G.J.; Gan T.J.; Konishi T.; Gottumukkala V.; Uppal A.,Testing Machine Learning Models to Predict Postoperative Ileus after Colorectal Surgery,2024,"Background: Postoperative ileus (POI) is a common complication after colorectal surgery, leading to increased hospital stay and costs. This study aimed to explore patient comorbidities that contribute to the development of POI in the colorectal surgical population and compare machine learning (ML) model accuracy to existing risk instruments. Study Design: In a retrospective study, data were collected on 316 adult patients who underwent colorectal surgery from January 2020 to December 2021. The study excluded patients undergoing multi-visceral resections, re-operations, or combined primary and metastatic resections. Patients lacking follow-up within 90 days after surgery were also excluded. Eight different ML models were trained and cross-validated using 29 patient comorbidities and four comorbidity risk indices (ASA Status, NSQIP, CCI, and ECI). Results: The study found that 6.33% of patients experienced POI. Age, BMI, gender, kidney disease, anemia, arrhythmia, rheumatoid arthritis, and NSQIP score were identified as significant predictors of POI. The ML models with the greatest accuracy were AdaBoost tuned with grid search (94.2%) and XG Boost tuned with grid search (85.2%). Conclusions: This study suggests that ML models can predict the risk of POI with high accuracy and may offer a new frontier in early detection and intervention for postoperative outcome optimization. ML models can greatly improve the prediction and prevention of POI in colorectal surgery patients, which can lead to improved patient outcomes and reduced healthcare costs. Further research is required to validate and assess the replicability of these results. © 2024 by the authors.",
Siddique A.; Panda S.S.; Khan S.; Dargan S.T.; Lewis S.; Carter I.; Van Wyk J.A.; Mahapatra A.K.; Morgan E.R.; Terrill T.H.,Innovations in animal health: artificial intelligence-enhanced hematocrit analysis for rapid anemia detection in small ruminants,2024,"Due to their value as a food source, fiber, and other products globally, there has been a growing focus on the wellbeing and health of small ruminants, particularly in relation to anemia induced by blood-feeding gastrointestinal parasites like Haemonchus contortus. The objective of this study was to assess the packed cell volume (PCV) levels in blood samples from small ruminants, specifically goats, and create an efficient biosensor for more convenient, yet accurate detection of anemia for on-farm use in agricultural environments for animal production optimization. The study encompassed 75 adult male Spanish goats, which underwent PCV testing to ascertain their PCV ranges and their association with anemic conditions. Using artificial intelligence-powered machine learning algorithms, an advanced, easy-to-use sensor was developed for rapidly alerting farmers as to low red blood cell count of their animals in this way to enable timely medical intervention. The developed sensor utilizes a semi-invasive technique that requires only a small blood sample. More precisely, a volume of 30 μL of blood was placed onto Whatman filter paper No. 1, previously soaked with anhydrous glycerol. The blood dispersion pattern on the glycerol-infused paper was then recorded using a smartphone after 180 s. Subsequently, these images were examined in correlation with established PCV values obtained from conventional PCV analysis. Four separate machine learning models (ML) supported models, namely support vector machine (SVM), K-nearest neighbors (KNN), backpropagation neural network (BPNN), and image classification-based Keras model, were created and assessed using the image dataset. The dataset consisted of 1,054 images that were divided into training, testing, and validation sets in a 70:20:10 ratio. The initial findings indicated a detection accuracy of 76.06% after only 10 epochs for recognizing different levels of PCV in relation to anemia, ranging from healthy to severely anemic. This testing accuracy increased markedly, to 95.8% after 100 epochs and other model parameter optimization. Results for SVM had an overall F1 score of 74–100% in identifying the PCV range for blood pattern images representing healthy to severely anemic animals, and BPNN showed 91–100% accuracy in identifying the PCV range for anemia detection. This work demonstrates that AI-driven biosensors can be used for on-site rapid anemia detection. Optimized machine learning models maximize detection accuracy, proving the sensor’s validity and rapidity in assessing anemia levels. This breakthrough will allow farmers, with rapid results, to increase animal wellbeing and agricultural productivity. Copyright © 2024 Siddique, Panda, Khan, Dargan, Lewis, Carter, Van Wyk, Mahapatra, Morgan and Terrill.",
Abraham A.; Le B.; Kosti I.; Straub P.; Velez-Edwards D.R.; Davis L.K.; Newton J.M.; Muglia L.J.; Rokas A.; Bejan C.A.; Sirota M.; Capra J.A.,Dense phenotyping from electronic health records enables machine learning-based prediction of preterm birth,2022,"Background: Identifying pregnancies at risk for preterm birth, one of the leading causes of worldwide infant mortality, has the potential to improve prenatal care. However, we lack broadly applicable methods to accurately predict preterm birth risk. The dense longitudinal information present in electronic health records (EHRs) is enabling scalable and cost-efficient risk modeling of many diseases, but EHR resources have been largely untapped in the study of pregnancy. Methods: Here, we apply machine learning to diverse data from EHRs with 35,282 deliveries to predict singleton preterm birth. Results: We find that machine learning models based on billing codes alone can predict preterm birth risk at various gestational ages (e.g., ROC-AUC = 0.75, PR-AUC = 0.40 at 28 weeks of gestation) and outperform comparable models trained using known risk factors (e.g., ROC-AUC = 0.65, PR-AUC = 0.25 at 28 weeks). Examining the patterns learned by the model reveals it stratifies deliveries into interpretable groups, including high-risk preterm birth subtypes enriched for distinct comorbidities. Our machine learning approach also predicts preterm birth subtypes (spontaneous vs. indicated), mode of delivery, and recurrent preterm birth. Finally, we demonstrate the portability of our approach by showing that the prediction models maintain their accuracy on a large, independent cohort (5978 deliveries) from a different healthcare system. Conclusions: By leveraging rich phenotypic and genetic features derived from EHRs, we suggest that machine learning algorithms have great potential to improve medical care during pregnancy. However, further work is needed before these models can be applied in clinical settings. © 2022, The Author(s).",28.0
Awaad A.S.; Elbarawy Y.M.; Mancy H.; Ghannam N.E.,Exploring CBC Data for Anemia Diagnosis: A Machine Learning and Ontology Perspective,2025,"Background: Anemia, a common health disorder affecting populations globally, demands timely and accurate diagnosis for treatment to be effective. The aim of this paper is to detect and classify four types of anemia: hgb, iron-deficiency, folate-deficiency, and B12-deficiency anemia. Methods: This paper proposes an ontology-enhanced machine learning (ML) framework to classify types of anemia from CBC data obtained from Kaggle, which contains 15,300 patient records. It evaluates the effects of classical versus deep classifiers on imbalanced and oversampled training samples. Tests include KNN, SVM, DT, RF, CNN, CNN+SVM, CNN+RF, and XGBoost. Another interesting contribution is the use of ontological reasoning via SPARQL queries to semantically enrich clinical features with categories like “Low Hemoglobin” or “Macrocytic MCV”. These semantic features were then used in both classical (SVM) and deep hybrid models (CNN+SVM). Results: Ontology-enhanced and CNN hybrid models perform competitively when paired with ROS or ADASYN, but their performance degrades significantly on the original dataset. There were tremendous performance gains with ontology-enhanced models in that Onto-CNN+SVM achieved an F1-score (1.00) for all the four types of anemia under ROS sampling, while Onto-SVM exhibited more than 20% improvement in F1-scores for minority categories like folate and B12 when compared to baseline models, except XGBoost. Conclusions: Ontology-driven knowledge coalescence has been shown to improve classification results; however, XGBoost consistently outperformed all other classifiers across all data conditions, making it the most robust and reliable model for clinically relevant decision-support systems in anemia diagnosis. © 2025 by the authors.",
Revathi M.; Raghuraman G.; Visumathi J.,Performance Analysis of Machine Learning Algorithms in the Systematic Prediction of Chronic Kidney Disease on an Imbalanced Dataset,2023,"The applications of artificial intelligence in the field of medicine is growing rapidly. Huge volume of patient related data is available and if this data is properly utilized, it will be helpful in the diagnosis as well as treatment of many diseases. Chronic kidney disease (CKD) is a progressive reduction in the function of kidney which is not reversible. During the progress in disease development, patients may suffer from other health issues like diabetes, high blood pressure, anaemia etc. At the end stage, dialysis will be a temporary solution and kidney transplantation is the permanent solution. The progress of the disease towards end stage may stop, if we identify the disease at the earlier stage and accurate treatment is given. Nowadays, machine learning as well as deep learning algorithms helps the medical experts in the prediction of many diseases. In this work, various algorithms have been used in the prediction of CKD and a comparison of results have been done. It is found that artificial neural network (ANN) is able to predict the disease with higher accuracy than the other algorithms being used. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",8.0
Memmolo P.; Aprea G.; Bianco V.; Russo R.; Andolfo I.; Mugnano M.; Merola F.; Miccio L.; Iolascon A.; Ferraro P.,Differential diagnosis of hereditary anemias from a fraction of blood drop by digital holography and hierarchical machine learning,2022,"Anemia affects about the 25% of the global population and can provoke severe diseases, ranging from weakness and dizziness to pregnancy problems, arrhythmias and hearth failures. About 10% of the patients are affected by rare anemias of which 80% are hereditary. Early differential diagnosis of anemia enables prescribing patients a proper treatment and diet, which is effective to mitigate the associated symptoms. Nevertheless, the differential diagnosis of these conditions is often difficult due to shared and overlapping phenotypes. Indeed, the complete blood count and unaided peripheral blood smear observation cannot always provide a reliable differential diagnosis, so that biomedical assays and genetic tests are needed. These procedures are not error-free, require skilled personnel, and severely impact the financial resources of national health systems. Here we show a differential screening system for hereditary anemias that relies on holographic imaging and artificial intelligence. Label-free holographic imaging is aided by a hierarchical machine learning decider that works even in the presence of a very limited dataset but is enough accurate for discerning between different anemia classes with minimal morphological dissimilarities. It is worth to notice that only a few tens of cells from each patient are sufficient to obtain a correct diagnosis, with the advantage of significantly limiting the volume of blood drawn. This work paves the way to a wider use of home screening systems for point of care blood testing and telemedicine with lab-on-chip platforms. © 2022 Elsevier B.V.",51.0
Pillay T.S.; Khan A.I.; Yenice S.,Artificial intelligence (AI) in point-of-care testing,2025,"The integration of artificial intelligence (AI) into point-of-care testing (POCT) represents a transformative leap in modern healthcare, addressing critical challenges in diagnostic accuracy, workflow efficiency, and equitable access. While POCT has revolutionized decentralized care through rapid results, its potential is hindered by variability in accuracy, integration hurdles, and resource constraints. AI technologies—encompassing machine learning, deep learning, and natural language processing—offer robust solutions: convolutional neural networks improve malaria detection in sub-Saharan Africa to 95 % sensitivity, while predictive analytics reduce device downtime by 20 % in resource-limited settings. AI-driven decision support systems curtail antibiotic misuse by 40 % through real-time data synthesis, and portable AI devices enable anaemia screening in rural India with 94 % accuracy, slashing diagnostic delays from weeks to hours. Despite these advancements, challenges persist, including data privacy risks, algorithmic opacity, and infrastructural gaps in low- and middle-income countries. Explainable AI frameworks and blockchain encryption are critical to building clinician trust and ensuring regulatory compliance. Future directions emphasize the convergence of AI with Internet of Things (IoT) and blockchain for predictive diagnostics, as demonstrated by AI-IoT systems forecasting dengue outbreaks 14 days in advance. Personalized medicine, powered by genomic and wearable data integration, further underscores AI potential to tailor therapies, reducing cardiovascular events by 25 %. Realizing this vision demands interdisciplinary collaboration, ethical governance, and equitable implementation to bridge global health disparities. By harmonizing innovation with accessibility, AI-enhanced POCT emerges as a cornerstone of proactive, patient-centered healthcare, poised to democratize diagnostics and drive sustainable health equity worldwide. © 2025 The Author(s)",
Miltenberg B.; Yeramosu T.; Johns W.L.; Onor G.; Martinazzi B.; Chang M.; Namdari S.,Prediction of overnight stay following shoulder arthroplasty utilizing machine learning,2024,"Background: Total shoulder arthroplasty (TSA) has evolved from requiring extended inpatient hospital stays to favoring same-day discharges, influenced by improved surgical techniques, patient optimization, and the risks associated with inpatient stays. The removal of TSA from Medicare's inpatient-only list in 2021 underscores this shift. However, the need for accurate prediction of post-TSA admission remains, as hospital admissions are costly and linked to increased morbidity and mortality. Machine learning algorithms offer potential advantages over traditional predictive models by identifying complex, nonlinear relationships. This study aimed to demonstrate and compare the performance of commonly used machine learning algorithms to predict overnight hospital stay (OHS) admission. Methods: This study used data from the American College of Surgeons National Quality Improvement Program 2021 database to analyze patients who underwent primary, elective TSA. Patients were divided into short hospital stay of 0-1 days and OHS of >1 day cohorts. Machine learning models, including Random Forest, Artificial Neural Network (ANN), Gradient Boosted Tree, Naïve Bayes, and Support Vector Machine, were trained and validated to predict OHS. The models' predictive capacities were compared using the area under the receiver operating characteristics curve, calibration, and decision curve analysis. Results: Out of 5811 patients analyzed, 926 (15.9%) were discharged on the same day. The ANN model demonstrated the highest area under the receiver operating characteristics curve (0.811), indicating superior predictive ability. Important variables influencing OHS predictions included operative time, body mass index, functional status, and patient demographics, such as age, race, and home support. Machine learning models showed better predictive performance than multivariate logistic regression. Conclusion: Machine learning models, particularly the ANN model, outperform traditional regression methods in predicting post-TSA admission, highlighting their utility in optimizing patient selection for outpatient surgery. These models identify important variables associated with increased risk of OHS, aiding in preoperative planning and patient counseling. Integrating machine learning into clinical practice may enhance surgical outcomes and patient satisfaction while reducing health-care costs. © 2024 American Shoulder and Elbow Surgeons",
Chakraborty S.; Kansara K.; Dinesh Kumar R.; Swaminathan D.; Aatre K.; Acharya S.,Non-invasive Estimation of Clinical Severity of Anemia Using Hierarchical Ensemble Classifiers,2022,"Purpose: Current techniques of anemia classification are either invasive, expensive or inaccurate, making them ill-suited for community health-worker based screening programs. In this study, we propose an Artificial Intelligence (AI) based anemia classification method using a multi-wavelength non-invasive photometry device. Methods: A finger mounted photo-plethysmogram (PPG) device was designed to acquire PPG signals at four wavelengths (590, 660, 810, and 940 nm). A set of 13 attenuation and ratio-of-ratio features, derived using the peak and trough information extracted from the PPG signals, were used to develop a three-way hierarchical ensemble classification scheme using a machine-learning algorithm. PPG data from the device and true hemoglobin data from laboratory-based cell counters was collected for 1583 women of childbearing age and subjects were classified into either healthy (Hemoglobin, Hb > 11 g/dL), anemic (Hb: 7–11 g/dL) or severely anemic (Hb < 7 g/dL) categories. Results: We report a classification sensitivity of 92% (p < 0.05) and specificity of 84% (p < 0.05) in differentiating anemic and non-anemic women. We also report a sensitivity of 76% (p < 0.05), and specificity of 74% (p < 0.05) in identifying severe anemia. Conclusion: We believe that the proposed anemia classification algorithm, along with the associated sensor has the potential to be productized as a low-cost non-invasive anemia-screening device to rapidly determine next steps in clinical decision making in widespread community interventions. © 2022, Taiwanese Society of Biomedical Engineering.",16.0
Caliandro P.; Lenkowicz J.; Reale G.; Scaringi S.; Zauli A.; Uccheddu C.; Fabiole-Nicoletto S.; Patarnello S.; Damiani A.; Tagliaferri L.; Valente I.; Moci M.; Monforte M.; Valentini V.; Calabresi P.,Artificial intelligence to predict individualized outcome of acute ischemic stroke patients: The SIBILLA project,2024,"Introduction: Formulating reliable prognosis for ischemic stroke patients remains a challenging task. We aimed to develop an artificial intelligence model able to formulate in the first 24 h after stroke an individualized prognosis in terms of NIHSS. Patients and methods: Seven hundred ninety four acute ischemic stroke patients were divided into a training (597) and testing (197) cohort. Clinical and instrumental data were collected in the first 24 h. We evaluated the performance of four machine-learning models (Random Forest, K-Nearest Neighbors, Support Vector Machine, XGBoost) in predicting NIHSS at discharge both in terms of variation between discharge and admission (regressor approach) and in terms of severity class namely NIHSS 0–5, 6–10, 11–20, >20 (classifier approach). We used Shapley Additive exPlanations values to weight features impact on predictions. Results: XGBoost emerged as the best performing model. The classifier and regressor approaches perform similarly in terms of accuracy (80% vs 75%) and f1-score (79% vs 77%) respectively. However, the regressor has higher precision (85% vs 68%) in predicting prognosis of very severe stroke patients (NIHSS > 20). NIHSS at admission and 24 hours, GCS at 24 hours, heart rate, acute ischemic lesion on CT-scan and TICI score were the most impacting features on the prediction. Discussion: Our approach, which employs an artificial intelligence based-tool, inherently able to continuously learn and improve its performance, could improve care pathway and support stroke physicians in the communication with patients and caregivers. Conclusion: XGBoost reliably predicts individualized outcome in terms of NIHSS at discharge in the first 24 hours after stroke. © European Stroke Organisation 2024.",
Pena G.; Cornejo J.; Rodriguez S.,Artificial Intelligence for Risk Prediction of Anemia Disease: Bioinformatics Scoping Review,2025,"Anemia and other hematological disorders represent a major global health burden, affecting over 1.6 billion people, particularly women and children. These conditions are often underdiagnosed due to limited access to diagnostic resources and medical infrastructure. In recent times, Artificial Intelligence (AI) has become a valuable tool for the prediction and identification of such disorders using structured clinical data, hematological parameters, and medical imaging through techniques like Deep Learning and Machine Learning. This review systematically analyzes studies published between 2019 and 2025 that applied AI methods to predict or classify anemia and associated disorders. Research articles in English were retrieved from databases such as Scopus, PubMed, and ScienceDirect, with 25 relevant studies selected based on defined inclusion criteria using the PICOC framework. Findings show that AI models often achieve high performance, with accuracy frequently exceeding 80 percent, and strong sensitivity and specificity. Supervised learning approaches were the most applied and consistently effective. Despite these promising results, challenges remain in clinical validation, data variability, and model interpretability. This review highlights the growing role of AI in medical diagnostics and underscores the necessity for strong, transparent, and widely models for reliable use in the clinical environment.  © 2025 IEEE.",
Nowakowska K.; Sakellarios A.; Kaźmierski J.; Fotiadis D.I.; Pezoulas V.C.,AI-Enhanced Predictive Modeling for Identifying Depression and Delirium in Cardiovascular Patients Scheduled for Cardiac Surgery,2024,"Several studies have demonstrated a critical association between cardiovascular disease (CVD) and mental health, revealing that approximately one-third of individuals with CVD also experience depression. This comorbidity significantly increases the risk of cardiac complications and mortality, a risk that persists regardless of traditional factors. Addressing this issue, our study pioneers a straightforward, explainable, and data-driven pipeline for predicting depression in CVD patients. Methods: Our study was conducted at a cardiac surgical intensive care unit. A total of 224 participants who were scheduled for elective coronary artery bypass graft surgery (CABG) were enrolled in the study. Prior to surgery, each patient underwent psychiatric evaluation to identify major depressive disorder (MDD) based on the DSM-5 criteria. An advanced data curation workflow was applied to eliminate outliers and inconsistencies and improve data quality. An explainable AI-empowered pipeline was developed, where sophisticated machine learning techniques, including the AdaBoost, random forest, and XGBoost algorithms, were trained and tested on the curated data based on a stratified cross-validation approach. Results: Our findings identified a significant correlation between the biomarker “sRAGE” and depression (r = 0.32, p = 0.038). Among the applied models, the random forest classifier demonstrated superior accuracy in predicting depression, with notable scores in accuracy (0.62), sensitivity (0.71), specificity (0.53), and area under the curve (0.67). Conclusions: This study provides compelling evidence that depression in CVD patients, particularly those with elevated “sRAGE” levels, can be predicted with a 62% accuracy rate. Our AI-driven approach offers a promising way for early identification and intervention, potentially revolutionizing care strategies in this vulnerable population. © 2023 by the authors.",
Larrainzar-Garijo R.; Fernández-Tormos E.; Collado-Escudero C.A.; Alcantud Ibáñez M.; Oñorbe-San Francisco F.; Marin-Corral J.; Casadevall D.; Donaire-Gonzalez D.; Martínez-Sanchez L.; Cabal-Hierro L.; Benavent D.; Brañas F.,Predictive model for a second hip fracture occurrence using natural language processing and machine learning on electronic health records,2024,"Hip fractures (HFx) are associated with a higher morbidity and mortality rates, leading to a significant reduction in life quality and in limitation of patient´s mobility. The present study aimed to obtain real-world evidence on the clinical characteristics of patients with an initial and a second hip fracture (HFx) and develop a predictive model for second HFx using artificial intelligence. Electronic health records from one hospital centre in Spain from January 2011 to December 2019 were analysed using EHRead® technology, based on natural language processing and machine learning. A total of 1,960 patients with HFx were finally included during the study period after meeting all inclusion and exclusion criteria. From this total, 1835 (93.6%) patients were included in the HFx subgroup, while 124 (6.4%) were admitted to the second HFx (2HFx) subgroup. The mean age of the participants was 84 years and 75.5% were female. Most of comorbidities were more frequently identified in the HFx group, including hypertension (72.0% vs. 67.2%), cognitive impairment (33.0% vs. 31.2%), diabetes mellitus (28.7% vs. 24.8%), heart failure (27.6% vs. 22.4%) and chronic kidney disease (26.9% vs. 16.0%). Based on clinical criteria, 26 features were selected as potential prediction factors. From there, 16 demographics and clinical characteristics such as comorbidities, medications, measures of disabilities for ambulation and type of refracture were selected for development of a competitive risk model. Specifically, those predictors with different associated risk ratios, sorted from higher to lower risk relevance were visual deficit, malnutrition, walking assistance, hypothyroidism, female sex, osteoporosis treatment, pertrochanteric fracture, dementia, age at index, osteoporosis, renal failure, stroke, COPD, heart disease, anaemia, and asthma. This model showed good performance (dependent AUC: 0.69; apparent performance: 0.75) and could help the identification of patients with higher risk of developing a second HFx, allowing preventive measures. This study expands the current available information of HFx patients in Spain and identifies factors that exhibit potential in predicting a second HFx among older patients. © 2024, The Author(s).",
Fan B.E.; Kwok N.T.E.; Chen D.T.Y.; Kuperan P.; Abdul Latiff S.T.B.; Wong M.S.; Ong Y.X.; Lim K.G.E.; Wong W.Y.K.; Lim S.P.; Yong B.S.J.; Shanmugam H.; Neo Y.S.; Ong Y.P.J.; Winkler S.,Artificial intelligence-generated peripheral blood film images using generative adversarial networks and diffusion models,2023,[No abstract available],6.0
Maynard S.; Farrington J.; Raza S.; Stanworth S.J.,Artificial Intelligence Implementation in Transfusion Medicine: Addressing the Challenges of Clinical Adoption,2026,"Artificial intelligence (AI) and machine learning (ML) are increasingly promoted to enhance transfusion and patient blood management, yet real-world implementation remains rare. We reviewed recent exemplar studies reporting prospective deployment with workflow integration to examine translational features, barriers, and enablers of AI/ML integration. On June 18, 2025, we searched PubMed and Web of Science for articles from January 2022 onward. Of 1243 records screened and 31 full texts reviewed, 3 studies met inclusion criteria. The exemplars comprised: (1) a laboratory-embedded tool predicting low ferritin in anemic adults, which during a 21-day deployment identified additional iron deficiency relevant to pretransfusion optimization; (2) a patient-facing smartphone application estimating hemoglobin from fingernail images, adopted nationally by >200,000 users with potential implications for anemia screening; and (3) a clinician-facing smartphone decision support tool predicting resuscitation needs in trauma, piloted across 5 centers with acceptable feasibility and user satisfaction in a transfusion-intensive setting. Common enablers included alignment with clinical need, use of existing data infrastructure, interpretable tree-based models, and early stakeholder engagement. Persistent barriers were data quality and governance, limited generalizability, and absence of economic evaluation. Importantly, no study demonstrated improvement in clinical outcomes or cost. For clinical adoption, AI tools must integrate into routine workflows with clear safety, monitoring, and regulatory plans. Future research should apply implementation frameworks from the outset, evaluate downstream impact on transfusion practice and outcomes, and prioritize scalable approaches such as laboratory-embedded analytics, interoperable decision support, and patient-centered digital tools. © 2026 The Author(s)",
